Name,Roll,Email
Aadil,1401MM17,Aadil@mycollege.in
Aaditya,1401MM20,Aaditya@mycollege.in
Aanchal,1401MM06,Aanchal@mycollege.in
Abbas,1401MM22,Abbas@mycollege.in
Abhedhya,1401MM31,Abhedhya@mycollege.in
Abhilash,1401MM02,Abhilash@mycollege.in
Akshaya,1401MM77,Akshaya@mycollege.in
Ali,1401MM18,Ali@mycollege.in
Anshit,1401MM55,Anshit@mycollege.in
Anshul,1401MM15,Anshul@mycollege.in
Anshuman,1401MM12,Anshuman@mycollege.in
Anubha,1401MM23,Anubha@mycollege.in
Anubhuti,1401MM56,Anubhuti@mycollege.in
Anunay,1401MM52,Anunay@mycollege.in
Anusha,1401MM51,Anusha@mycollege.in
Apoorva,1401MM04,Apoorva@mycollege.in
Archi,1401MM70,Archi@mycollege.in
Archita,1401MM69,Archita@mycollege.in
Areeb,1401MM68,Areeb@mycollege.in
Arish,1401MM71,Arish@mycollege.in
Arshad,1401MM61,Arshad@mycollege.in
Asad,1401MM63,Asad@mycollege.in
Ashal,1401MM66,Ashal@mycollege.in
Ashmita,1401MM46,Ashmita@mycollege.in
Asmita,1401MM65,Asmita@mycollege.in
Asthana,1401MM64,Asthana@mycollege.in
Ayesha,1401MM25,Ayesha@mycollege.in
Babu,1401MM42,Babu@mycollege.in
Bibhu,1401MM43,Bibhu@mycollege.in
Bilal,1401MM01,Bilal@mycollege.in
Brahmaputra,1401MM39,Brahmaputra@mycollege.in
Chandra,1401MM24,Chandra@mycollege.in
Chandran,1401MM14,Chandran@mycollege.in
Chhavi,1401MM47,Chhavi@mycollege.in
Chirayu,1401MM44,Chirayu@mycollege.in
Deep,1401MM10,Deep@mycollege.in
Deepa,1401MM08,Deepa@mycollege.in
Devadathan,1401MM28,Devadathan@mycollege.in
Dushyant,1401MM11,Dushyant@mycollege.in
Gitanshu,1401MM75,Gitanshu@mycollege.in
Gnaneswar,1401MM32,Gnaneswar@mycollege.in
Govindam,1401MM82,Govindam@mycollege.in
Gyanvi,1401MM81,Gyanvi@mycollege.in
Hariharan,1401MM40,Hariharan@mycollege.in
Hemlata,1401MM05,Hemlata@mycollege.in
Jahangeer,1401MM58,Jahangeer@mycollege.in
Madhusri,1401MM78,Madhusri@mycollege.in
Mansoon,1401MM76,Mansoon@mycollege.in
Meet,1401MM79,Meet@mycollege.in
Nahid,1401MM49,Nahid@mycollege.in
Nishant,1401MM19,Nishant@mycollege.in
Prajeeth,1401MM80,Prajeeth@mycollege.in
Pranav,1401MM41,Pranav@mycollege.in
Rizwa,1401MM26,Rizwa@mycollege.in
Robin,1401MM36,Robin@mycollege.in
Rupal,1401MM34,Rupal@mycollege.in
Rupanjali,1401MM37,Rupanjali@mycollege.in
Rupeshwary,1401MM38,Rupeshwary@mycollege.in
Saanchi,1401MM16,Saanchi@mycollege.in
Sahaj,1401MM35,Sahaj@mycollege.in
Sairam,1401MM30,Sairam@mycollege.in
Sameeksha,1401MM45,Sameeksha@mycollege.in
Sanjeeda,1401MM27,Sanjeeda@mycollege.in
Sara,1401MM33,Sara@mycollege.in
Sathwika,1401MM07,Sathwika@mycollege.in
Saudamini,1401MM60,Saudamini@mycollege.in
Sejal,1401MM73,Sejal@mycollege.in
Shaileja,1401MM74,Shaileja@mycollege.in
Sharanya,1401MM59,Sharanya@mycollege.in
