Name,Roll,Email
Rishit,1401MT37,Rishit@mycollege.in
Sanskriti,1401CH43,Sanskriti@mycollege.in
Om,1401CS41,Om@mycollege.in
Vipin,1401CT12,Vipin@mycollege.in
Sourav,1401MC23,Sourav@mycollege.in
Saanchi,1401MM16,Saanchi@mycollege.in
Rishu,1401MT61,Rishu@mycollege.in
Shailendra,1401CH69,Shailendra@mycollege.in
Ritesh,1401CS11,Ritesh@mycollege.in
Vipul,1401CT11,Vipul@mycollege.in
Sreekanth,1401MC32,Sreekanth@mycollege.in
Sahaj,1401MM35,Sahaj@mycollege.in
Ritank,1401MT36,Ritank@mycollege.in
Shailesh,1401CH49,Shailesh@mycollege.in
Samriddhi,1401CS13,Samriddhi@mycollege.in
Virat,1401CT14,Virat@mycollege.in
Subash,1401MC55,Subash@mycollege.in
Sairam,1401MM30,Sairam@mycollege.in
Ronit,1401MT60,Ronit@mycollege.in
Shalini,1401CH40,Shalini@mycollege.in
Sandhya,1401CS51,Sandhya@mycollege.in
Yashika,1401CT13,Yashika@mycollege.in
Subodh,1401MC09,Subodh@mycollege.in
Sameeksha,1401MM45,Sameeksha@mycollege.in
Rouby,1401MT67,Rouby@mycollege.in
Shashwat,1401CH25,Shashwat@mycollege.in
Sanjay,1401CS06,Sanjay@mycollege.in
Yusuf,1401CT49,Yusuf@mycollege.in
Sudhakar,1401MC16,Sudhakar@mycollege.in
Sanjeeda,1401MM27,Sanjeeda@mycollege.in
Rupali,1401MT73,Rupali@mycollege.in
Shatakshi,1401CH26,Shatakshi@mycollege.in
Satyam,1401CS85,Satyam@mycollege.in
Yuvraj,1401CT40,Yuvraj@mycollege.in
Sukirti,1401MC08,Sukirti@mycollege.in
Sara,1401MM33,Sara@mycollege.in
Sadiya,1401MT75,Sadiya@mycollege.in
Shikhar,1401CH04,Shikhar@mycollege.in
Satyarth,1401CS84,Satyarth@mycollege.in
Surbhi,1401MC65,Surbhi@mycollege.in
Sathwika,1401MM07,Sathwika@mycollege.in
Saharsh,1401MT77,Saharsh@mycollege.in
Shoaib,1401CH50,Shoaib@mycollege.in
Seema,1401CS56,Seema@mycollege.in
Surendra,1401MC10,Surendra@mycollege.in
Saudamini,1401MM60,Saudamini@mycollege.in
Saksham,1401MT76,Saksham@mycollege.in
Shriya,1401CH60,Shriya@mycollege.in
Sekhar,1401CS20,Sekhar@mycollege.in
Suresh,1401MC12,Suresh@mycollege.in
Sejal,1401MM73,Sejal@mycollege.in
Sanket,1401MT68,Sanket@mycollege.in
Shubhi,1401CH71,Shubhi@mycollege.in
Shekhar,1401CS17,Shekhar@mycollege.in
Sweta,1401MC33,Sweta@mycollege.in
Shaileja,1401MM74,Shaileja@mycollege.in
Saumile,1401MT70,Saumile@mycollege.in
Siddhant,1401CH72,Siddhant@mycollege.in
Shikha,1401CS87,Shikha@mycollege.in
Tejas,1401MC58,Tejas@mycollege.in
Sharanya,1401MM59,Sharanya@mycollege.in
Sawan,1401MT27,Sawan@mycollege.in
Simran,1401CH29,Simran@mycollege.in
Shilpa,1401CS86,Shilpa@mycollege.in
Thaanya,1401MC34,Thaanya@mycollege.in
Sharique,1401MM50,Sharique@mycollege.in
Shaad,1401MT72,Shaad@mycollege.in
Smriti,1401CH09,Smriti@mycollege.in
Shivanshi,1401CS81,Shivanshi@mycollege.in
