Name,Roll,Email
Anunay,1401MM52,Anunay@mycollege.in
Jagriti,1401MT22,Jagriti@mycollege.in
Harsh,1401AI03,Harsh@mycollege.in
Dheeraj,1401CB40,Dheeraj@mycollege.in
Jyoti,1401CE15,Jyoti@mycollege.in
Danish,1401CH44,Danish@mycollege.in
Anmol,1401CS14,Anmol@mycollege.in
Khanak,1401CT24,Khanak@mycollege.in
Jagadeesh,1401EC51,Jagadeesh@mycollege.in
Faraz,1401MC75,Faraz@mycollege.in
Anusha,1401MM51,Anusha@mycollege.in
Jashveer,1401MT41,Jashveer@mycollege.in
Harshit,1401AI27,Harshit@mycollege.in
Divya,1401CB07,Divya@mycollege.in
Kashish,1401CE12,Kashish@mycollege.in
Deependra,1401CH11,Deependra@mycollege.in
Annanya,1401CS47,Annanya@mycollege.in
Kritika,1401CT54,Kritika@mycollege.in
Jahanvi,1401EC38,Jahanvi@mycollege.in
Farhan,1401MC72,Farhan@mycollege.in
Apoorva,1401MM04,Apoorva@mycollege.in
Jenamani,1401MT74,Jenamani@mycollege.in
Harshita,1401AI33,Harshita@mycollege.in
Isha,1401CB45,Isha@mycollege.in
Keshav,1401CE19,Keshav@mycollege.in
Devendra,1401CH13,Devendra@mycollege.in
Anwar,1401CS27,Anwar@mycollege.in
Kushagra,1401CT57,Kushagra@mycollege.in
Jahnavi,1401EC37,Jahnavi@mycollege.in
Indra,1401MC01,Indra@mycollege.in
Archi,1401MM70,Archi@mycollege.in
Joshika,1401MT26,Joshika@mycollege.in
Himanshu,1401AI19,Himanshu@mycollege.in
Ishika,1401CB25,Ishika@mycollege.in
Kshitij,1401CE25,Kshitij@mycollege.in
Diksha,1401CH14,Diksha@mycollege.in
Aparna,1401CS54,Aparna@mycollege.in
Madhu,1401CT23,Madhu@mycollege.in
Kamini,1401EC40,Kamini@mycollege.in
Kalpana,1401MC52,Kalpana@mycollege.in
Archita,1401MM69,Archita@mycollege.in
Joy,1401MT58,Joy@mycollege.in
Kajal,1401AI20,Kajal@mycollege.in
Kavya,1401CB38,Kavya@mycollege.in
Lakshya,1401CE07,Lakshya@mycollege.in
Dinesh,1401CH59,Dinesh@mycollege.in
Apratim,1401CS28,Apratim@mycollege.in
Manya,1401CT26,Manya@mycollege.in
Kamran,1401EC39,Kamran@mycollege.in
Kapil,1401MC54,Kapil@mycollege.in
Areeb,1401MM68,Areeb@mycollege.in
Kandarp,1401MT16,Kandarp@mycollege.in
Krishna,1401AI41,Krishna@mycollege.in
Khushi,1401CB36,Khushi@mycollege.in
Manish,1401CE29,Manish@mycollege.in
Divyansh,1401CH16,Divyansh@mycollege.in
Apurva,1401CS23,Apurva@mycollege.in
Megha,1401CT25,Megha@mycollege.in
Karishma,1401EC34,Karishma@mycollege.in
Karthikeya,1401MC13,Karthikeya@mycollege.in
Arish,1401MM71,Arish@mycollege.in
Kanha,1401MT11,Kanha@mycollege.in
Muskan,1401AI11,Muskan@mycollege.in
Kishan,1401CB47,Kishan@mycollege.in
Mayank,1401CE14,Mayank@mycollege.in
Ganesh,1401CH02,Ganesh@mycollege.in
Aqsa,1401CS26,Aqsa@mycollege.in
Minakshi,1401CT20,Minakshi@mycollege.in
Khushboo,1401EC33,Khushboo@mycollege.in
