Name,Roll,Email
Fariya,1401MT09,Fariya@mycollege.in
Ankit,1401AI21,Ankit@mycollege.in
Aniket,1401CB18,Aniket@mycollege.in
Atul,1401CE32,Atul@mycollege.in
Anand,1401CH20,Anand@mycollege.in
Akarsh,1401CS39,Akarsh@mycollege.in
Arman,1401CT46,Arman@mycollege.in
Dilip,1401EC46,Dilip@mycollege.in
Chahat,1401MC22,Chahat@mycollege.in
Ali,1401MM18,Ali@mycollege.in
Goldy,1401MT06,Goldy@mycollege.in
Anshika,1401AI42,Anshika@mycollege.in
Ankita,1401CB32,Ankita@mycollege.in
Aviral,1401CE45,Aviral@mycollege.in
Anchal,1401CH28,Anchal@mycollege.in
Akhil,1401CS43,Akhil@mycollege.in
Avanish,1401CT48,Avanish@mycollege.in
Dipa,1401EC49,Dipa@mycollege.in
Chaitanya,1401MC06,Chaitanya@mycollege.in
Anshit,1401MM55,Anshit@mycollege.in
Hari,1401MT69,Hari@mycollege.in
Anurag,1401AI34,Anurag@mycollege.in
Ankur,1401CB28,Ankur@mycollege.in
Garima,1401CE28,Garima@mycollege.in
Anil,1401CH37,Anil@mycollege.in
Akshay,1401CS16,Akshay@mycollege.in
Gargi,1401CT59,Gargi@mycollege.in
Dolly,1401EC26,Dolly@mycollege.in
Chinmay,1401MC21,Chinmay@mycollege.in
Anshul,1401MM15,Anshul@mycollege.in
Harshada,1401MT34,Harshada@mycollege.in
Anushka,1401AI08,Anushka@mycollege.in
Arpit,1401CB31,Arpit@mycollege.in
Himani,1401CE42,Himani@mycollege.in
Anoop,1401CH12,Anoop@mycollege.in
Alka,1401CS24,Alka@mycollege.in
Hariom,1401CT58,Hariom@mycollege.in
Durgesh,1401EC48,Durgesh@mycollege.in
Deepshikha,1401MC66,Deepshikha@mycollege.in
Anshuman,1401MM12,Anshuman@mycollege.in
Himanshi,1401MT20,Himanshi@mycollege.in
Ayush,1401AI04,Ayush@mycollege.in
Arun,1401CB16,Arun@mycollege.in
Ishan,1401CE27,Ishan@mycollege.in
Anupam,1401CH48,Anupam@mycollege.in
Amarnath,1401CS32,Amarnath@mycollege.in
Jai,1401CT61,Jai@mycollege.in
Faizan,1401EC32,Faizan@mycollege.in
Desh,1401MC24,Desh@mycollege.in
Anubha,1401MM23,Anubha@mycollege.in
Ibrahim,1401MT21,Ibrahim@mycollege.in
Ayushi,1401AI40,Ayushi@mycollege.in
Ashutosh,1401CB05,Ashutosh@mycollege.in
Ishita,1401CE10,Ishita@mycollege.in
Ashwani,1401CH31,Ashwani@mycollege.in
Amisha,1401CS18,Amisha@mycollege.in
Janvi,1401CT60,Janvi@mycollege.in
Hartesh,1401EC43,Hartesh@mycollege.in
Dhananjay,1401MC18,Dhananjay@mycollege.in
Anubhuti,1401MM56,Anubhuti@mycollege.in
Ishwa,1401MT25,Ishwa@mycollege.in
Gaurav,1401AI22,Gaurav@mycollege.in
Deepak,1401CB34,Deepak@mycollege.in
Juhi,1401CE56,Juhi@mycollege.in
Chirag,1401CH06,Chirag@mycollege.in
Amrita,1401CS19,Amrita@mycollege.in
Jaya,1401CT55,Jaya@mycollege.in
Indu,1401EC52,Indu@mycollege.in
Dhruva,1401MC17,Dhruva@mycollege.in
