Name,Roll,Email
Kartik,1401MC04,Kartik@mycollege.in
Arshad,1401MM61,Arshad@mycollege.in
Kausar,1401MT66,Kausar@mycollege.in
Nidhi,1401AI39,Nidhi@mycollege.in
Kunal,1401CB39,Kunal@mycollege.in
Mohsin,1401CE36,Mohsin@mycollege.in
Gayathri,1401CH56,Gayathri@mycollege.in
Arpita,1401CS01,Arpita@mycollege.in
Monti,1401CT19,Monti@mycollege.in
Maaz,1401EC36,Maaz@mycollege.in
Kartikeya,1401MC05,Kartikeya@mycollege.in
Asad,1401MM63,Asad@mycollege.in
Kaushiki,1401MT13,Kaushiki@mycollege.in
Nikhil,1401AI23,Nikhil@mycollege.in
Mansi,1401CB01,Mansi@mycollege.in
Neha,1401CE50,Neha@mycollege.in
Harshvardhan,1401CH34,Harshvardhan@mycollege.in
Arti,1401CS63,Arti@mycollege.in
Mugdha,1401CT22,Mugdha@mycollege.in
Madhuri,1401EC35,Madhuri@mycollege.in
Kavish,1401MC44,Kavish@mycollege.in
Ashal,1401MM66,Ashal@mycollege.in
Khalid,1401MT12,Khalid@mycollege.in
Prakhar,1401AI45,Prakhar@mycollege.in
Mohit,1401CB26,Mohit@mycollege.in
Nitin,1401CE41,Nitin@mycollege.in
Hemant,1401CH21,Hemant@mycollege.in
Arunima,1401CS48,Arunima@mycollege.in
Namrata,1401CT56,Namrata@mycollege.in
Mahima,1401EC12,Mahima@mycollege.in
Krishan,1401MC28,Krishan@mycollege.in
Ashmita,1401MM46,Ashmita@mycollege.in
Khansa,1401MT23,Khansa@mycollege.in
Prashant,1401AI25,Prashant@mycollege.in
Neelesh,1401CB50,Neelesh@mycollege.in
Nupur,1401CE49,Nupur@mycollege.in
Jitendra,1401CH05,Jitendra@mycollege.in
Aryan,1401CS66,Aryan@mycollege.in
Naziya,1401CT62,Naziya@mycollege.in
Mallika,1401EC11,Mallika@mycollege.in
Lakshmi,1401MC47,Lakshmi@mycollege.in
Asmita,1401MM65,Asmita@mycollege.in
Kunaal,1401MT24,Kunaal@mycollege.in
Priya,1401AI26,Priya@mycollege.in
Neeraj,1401CB12,Neeraj@mycollege.in
Parul,1401CE16,Parul@mycollege.in
Kaif,1401CH54,Kaif@mycollege.in
Astha,1401CS05,Astha@mycollege.in
Nitikarsh,1401CT21,Nitikarsh@mycollege.in
Manshi,1401EC14,Manshi@mycollege.in
Lalit,1401MC14,Lalit@mycollege.in
Asthana,1401MM64,Asthana@mycollege.in
Kushan,1401MT78,Kushan@mycollege.in
Rahul,1401AI12,Rahul@mycollege.in
Nikita,1401CB19,Nikita@mycollege.in
Pragati,1401CE05,Pragati@mycollege.in
Kanika,1401CH74,Kanika@mycollege.in
Avinash,1401CS59,Avinash@mycollege.in
Pakhi,1401CT27,Pakhi@mycollege.in
Mehak,1401EC13,Mehak@mycollege.in
Laxmi,1401MC27,Laxmi@mycollege.in
Ayesha,1401MM25,Ayesha@mycollege.in
Leena,1401MT33,Leena@mycollege.in
Rishabh,1401AI17,Rishabh@mycollege.in
Nisha,1401CB15,Nisha@mycollege.in
Prakash,1401CE21,Prakash@mycollege.in
Karan,1401CH62,Karan@mycollege.in
Ayan,1401CS65,Ayan@mycollege.in
Poonam,1401CT33,Poonam@mycollege.in
