Name,Roll,Email
Monu,1401EC08,Monu@mycollege.in
Lekhraj,1401MC49,Lekhraj@mycollege.in
Babu,1401MM42,Babu@mycollege.in
Mairaz,1401MT01,Mairaz@mycollege.in
Rohit,1401AI09,Rohit@mycollege.in
Palak,1401CB27,Palak@mycollege.in
Pratibha,1401CE22,Pratibha@mycollege.in
Kiran,1401CH63,Kiran@mycollege.in
Ayushman,1401CS71,Ayushman@mycollege.in
Prachi,1401CT32,Prachi@mycollege.in
Mrithyunjay,1401EC44,Mrithyunjay@mycollege.in
Love,1401MC48,Love@mycollege.in
Bibhu,1401MM43,Bibhu@mycollege.in
Manaswini,1401MT44,Manaswini@mycollege.in
Sakshi,1401AI43,Sakshi@mycollege.in
Pallavi,1401CB17,Pallavi@mycollege.in
Praveen,1401CE23,Praveen@mycollege.in
Kriti,1401CH84,Kriti@mycollege.in
Bhawana,1401CS77,Bhawana@mycollege.in
Prajjwal,1401CT35,Prajjwal@mycollege.in
Neetika,1401EC07,Neetika@mycollege.in
Mahato,1401MC62,Mahato@mycollege.in
Bilal,1401MM01,Bilal@mycollege.in
Meenu,1401MT38,Meenu@mycollege.in
Saumya,1401AI16,Saumya@mycollege.in
Pawan,1401CB48,Pawan@mycollege.in
Prerna,1401CE48,Prerna@mycollege.in
Kushal,1401CH17,Kushal@mycollege.in
Bhoopendra,1401CS76,Bhoopendra@mycollege.in
Priyam,1401CT64,Priyam@mycollege.in
Nilesh,1401EC10,Nilesh@mycollege.in
Mahesh,1401MC61,Mahesh@mycollege.in
Brahmaputra,1401MM39,Brahmaputra@mycollege.in
Monish,1401MT07,Monish@mycollege.in
Saurabh,1401AI10,Saurabh@mycollege.in
Piyush,1401CB08,Piyush@mycollege.in
Prince,1401CE20,Prince@mycollege.in
Lucky,1401CH08,Lucky@mycollege.in
Bhumika,1401CS12,Bhumika@mycollege.in
Purnima,1401CT34,Purnima@mycollege.in
Nimesh,1401EC04,Nimesh@mycollege.in
Manas,1401MC64,Manas@mycollege.in
Chandra,1401MM24,Chandra@mycollege.in
Moosvi,1401MT08,Moosvi@mycollege.in
Shashank,1401AI28,Shashank@mycollege.in
Pragya,1401CB09,Pragya@mycollege.in
Priyanshu,1401CE24,Priyanshu@mycollege.in
Mahendra,1401CH38,Mahendra@mycollege.in
Bramoni,1401CS33,Bramoni@mycollege.in
Purvi,1401CT29,Purvi@mycollege.in
Nimish,1401EC03,Nimish@mycollege.in
Mangal,1401MC57,Mangal@mycollege.in
Chandran,1401MM14,Chandran@mycollege.in
Mritunjay,1401MT03,Mritunjay@mycollege.in
Shivani,1401AI44,Shivani@mycollege.in
Pranjal,1401CB44,Pranjal@mycollege.in
Raghav,1401CE03,Raghav@mycollege.in
Mahi,1401CH73,Mahi@mycollege.in
Chetna,1401CS35,Chetna@mycollege.in
Ragini,1401CT63,Ragini@mycollege.in
Nishtha,1401EC45,Nishtha@mycollege.in
Mani,1401MC07,Mani@mycollege.in
Chhavi,1401MM47,Chhavi@mycollege.in
Mubasshira,1401MT05,Mubasshira@mycollege.in
Shreya,1401AI32,Shreya@mycollege.in
Priyanka,1401CB35,Priyanka@mycollege.in
Rishi,1401CE04,Rishi@mycollege.in
Manu,1401CH10,Manu@mycollege.in
Dalia,1401CS30,Dalia@mycollege.in
