Name,Roll,Email
Divyanshu,1401CS73,Divyanshu@mycollege.in
Shakti,1401CT06,Shakti@mycollege.in
Ramanakanth,1401EC47,Ramanakanth@mycollege.in
Raashi,1401MC25,Raashi@mycollege.in
Govindam,1401MM82,Govindam@mycollege.in
Nitya,1401MT50,Nitya@mycollege.in
Vishal,1401AI37,Vishal@mycollege.in
Shweta,1401CB37,Shweta@mycollege.in
Shivam,1401CE06,Shivam@mycollege.in
Pankaj,1401CH53,Pankaj@mycollege.in
Durga,1401CS22,Durga@mycollege.in
Shalu,1401CT09,Shalu@mycollege.in
Rana,1401EC41,Rana@mycollege.in
Raj,1401MC20,Raj@mycollege.in
Gyanvi,1401MM81,Gyanvi@mycollege.in
Noopur,1401MT17,Noopur@mycollege.in
Vivek,1401AI35,Vivek@mycollege.in
Sneha,1401CB43,Sneha@mycollege.in
Shivansh,1401CE54,Shivansh@mycollege.in
Pooja,1401CH55,Pooja@mycollege.in
Ekta,1401CS09,Ekta@mycollege.in
Shaqib,1401CT08,Shaqib@mycollege.in
Rekha,1401EC22,Rekha@mycollege.in
Rajiv,1401MC38,Rajiv@mycollege.in
Hariharan,1401MM40,Hariharan@mycollege.in
Noorsaba,1401MT52,Noorsaba@mycollege.in
Yash,1401AI31,Yash@mycollege.in
Soumya,1401CB49,Soumya@mycollege.in
Shreyansh,1401CE31,Shreyansh@mycollege.in
Poornima,1401CH36,Poornima@mycollege.in
Geeta,1401CS72,Geeta@mycollege.in
Shilpi,1401CT03,Shilpi@mycollege.in
Rishika,1401EC17,Rishika@mycollege.in
Rajkumar,1401MC39,Rajkumar@mycollege.in
Hemlata,1401MM05,Hemlata@mycollege.in
Omhari,1401MT31,Omhari@mycollege.in
Sumit,1401CB46,Sumit@mycollege.in
Shubhangi,1401CE35,Shubhangi@mycollege.in
Pradeep,1401CH57,Pradeep@mycollege.in
Hasni,1401CS29,Hasni@mycollege.in
Shivang,1401CT02,Shivang@mycollege.in
Rohith,1401EC50,Rohith@mycollege.in
Raju,1401MC37,Raju@mycollege.in
Jahangeer,1401MM58,Jahangeer@mycollege.in
Pradium,1401MT30,Pradium@mycollege.in
Suraj,1401CB23,Suraj@mycollege.in
Sumeet,1401CE47,Sumeet@mycollege.in
Preeti,1401CH19,Preeti@mycollege.in
Hemanshu,1401CS75,Hemanshu@mycollege.in
Shrishti,1401CT44,Shrishti@mycollege.in
Saket,1401EC16,Saket@mycollege.in
Rakesh,1401MC35,Rakesh@mycollege.in
Madhusri,1401MM78,Madhusri@mycollege.in
Prakharendra,1401MT63,Prakharendra@mycollege.in
Tanya,1401CB14,Tanya@mycollege.in
Sunil,1401CE55,Sunil@mycollege.in
Rajat,1401CH76,Rajat@mycollege.in
Indora,1401CS25,Indora@mycollege.in
Simaran,1401CT43,Simaran@mycollege.in
Sangeeta,1401EC02,Sangeeta@mycollege.in
Ram,1401MC26,Ram@mycollege.in
Mansoon,1401MM76,Mansoon@mycollege.in
Pranidhi,1401MT32,Pranidhi@mycollege.in
Tushar,1401CB02,Tushar@mycollege.in
Sushil,1401CE43,Sushil@mycollege.in
Rashi,1401CH68,Rashi@mycollege.in
Jaswant,1401CS74,Jaswant@mycollege.in
Sonu,1401CT05,Sonu@mycollege.in
Sania,1401EC01,Sania@mycollege.in
