Name,Roll,Email
Abhilasha,1401MT02,Abhilasha@mycollege.in
Aruba,1401MT48,Aruba@mycollege.in
Devyanti,1401MT55,Devyanti@mycollege.in
Ehtisham,1401MT49,Ehtisham@mycollege.in
Elamathi,1401MT14,Elamathi@mycollege.in
Eshma,1401MT47,Eshma@mycollege.in
Fariya,1401MT09,Fariya@mycollege.in
Goldy,1401MT06,Goldy@mycollege.in
Hari,1401MT69,Hari@mycollege.in
Harshada,1401MT34,Harshada@mycollege.in
Himanshi,1401MT20,Himanshi@mycollege.in
Ibrahim,1401MT21,Ibrahim@mycollege.in
Ishwa,1401MT25,Ishwa@mycollege.in
Jagriti,1401MT22,Jagriti@mycollege.in
Jashveer,1401MT41,Jashveer@mycollege.in
Jenamani,1401MT74,Jenamani@mycollege.in
Joshika,1401MT26,Joshika@mycollege.in
Joy,1401MT58,Joy@mycollege.in
Kandarp,1401MT16,Kandarp@mycollege.in
Kanha,1401MT11,Kanha@mycollege.in
Kausar,1401MT66,Kausar@mycollege.in
Kaushiki,1401MT13,Kaushiki@mycollege.in
Khalid,1401MT12,Khalid@mycollege.in
Khansa,1401MT23,Khansa@mycollege.in
Kunaal,1401MT24,Kunaal@mycollege.in
Kushan,1401MT78,Kushan@mycollege.in
Leena,1401MT33,Leena@mycollege.in
Mairaz,1401MT01,Mairaz@mycollege.in
Manaswini,1401MT44,Manaswini@mycollege.in
Meenu,1401MT38,Meenu@mycollege.in
Monish,1401MT07,Monish@mycollege.in
Moosvi,1401MT08,Moosvi@mycollege.in
Mritunjay,1401MT03,Mritunjay@mycollege.in
Mubasshira,1401MT05,Mubasshira@mycollege.in
Mudit,1401MT04,Mudit@mycollege.in
Mukund,1401MT46,Mukund@mycollege.in
Nargis,1401MT42,Nargis@mycollege.in
Neelu,1401MT45,Neelu@mycollege.in
Nihal,1401MT54,Nihal@mycollege.in
Nishchay,1401MT56,Nishchay@mycollege.in
Nishu,1401MT51,Nishu@mycollege.in
Nitya,1401MT50,Nitya@mycollege.in
Noopur,1401MT17,Noopur@mycollege.in
Noorsaba,1401MT52,Noorsaba@mycollege.in
Omhari,1401MT31,Omhari@mycollege.in
Pradium,1401MT30,Pradium@mycollege.in
Prakharendra,1401MT63,Prakharendra@mycollege.in
Pranidhi,1401MT32,Pranidhi@mycollege.in
Prasun,1401MT62,Prasun@mycollege.in
Prathmesh,1401MT35,Prathmesh@mycollege.in
Priyal,1401MT29,Priyal@mycollege.in
Priyamvada,1401MT64,Priyamvada@mycollege.in
Priyesh,1401MT28,Priyesh@mycollege.in
Punya,1401MT53,Punya@mycollege.in
Rajneesh,1401MT65,Rajneesh@mycollege.in
Ranjan,1401MT39,Ranjan@mycollege.in
Reshami,1401MT59,Reshami@mycollege.in
Rishit,1401MT37,Rishit@mycollege.in
Rishu,1401MT61,Rishu@mycollege.in
Ritank,1401MT36,Ritank@mycollege.in
Ronit,1401MT60,Ronit@mycollege.in
Rouby,1401MT67,Rouby@mycollege.in
Rupali,1401MT73,Rupali@mycollege.in
Sadiya,1401MT75,Sadiya@mycollege.in
Saharsh,1401MT77,Saharsh@mycollege.in
Saksham,1401MT76,Saksham@mycollege.in
Sanket,1401MT68,Sanket@mycollege.in
Saumile,1401MT70,Saumile@mycollege.in
Sawan,1401MT27,Sawan@mycollege.in
