Name,Roll,Email
Abhay,1401CH07,Abhay@mycollege.in
Abhijeet,1401CH33,Abhijeet@mycollege.in
Abhijit,1401CH41,Abhijit@mycollege.in
Ahmad,1401CH39,Ahmad@mycollege.in
Aishwarya,1401CH75,Aishwarya@mycollege.in
Ajit,1401CH35,Ajit@mycollege.in
Amol,1401CH22,Amol@mycollege.in
Anand,1401CH20,Anand@mycollege.in
Anchal,1401CH28,Anchal@mycollege.in
Anil,1401CH37,Anil@mycollege.in
Anoop,1401CH12,Anoop@mycollege.in
Anupam,1401CH48,Anupam@mycollege.in
Ashwani,1401CH31,Ashwani@mycollege.in
Chirag,1401CH06,Chirag@mycollege.in
Danish,1401CH44,Danish@mycollege.in
Deependra,1401CH11,Deependra@mycollege.in
Devendra,1401CH13,Devendra@mycollege.in
Diksha,1401CH14,Diksha@mycollege.in
Dinesh,1401CH59,Dinesh@mycollege.in
Divyansh,1401CH16,Divyansh@mycollege.in
Ganesh,1401CH02,Ganesh@mycollege.in
Gayathri,1401CH56,Gayathri@mycollege.in
Harshvardhan,1401CH34,Harshvardhan@mycollege.in
Hemant,1401CH21,Hemant@mycollege.in
Jitendra,1401CH05,Jitendra@mycollege.in
Kaif,1401CH54,Kaif@mycollege.in
Kanika,1401CH74,Kanika@mycollege.in
Karan,1401CH62,Karan@mycollege.in
Kiran,1401CH63,Kiran@mycollege.in
Kriti,1401CH84,Kriti@mycollege.in
Kushal,1401CH17,Kushal@mycollege.in
Lucky,1401CH08,Lucky@mycollege.in
Mahendra,1401CH38,Mahendra@mycollege.in
Mahi,1401CH73,Mahi@mycollege.in
Manu,1401CH10,Manu@mycollege.in
Mukesh,1401CH79,Mukesh@mycollege.in
Muskaan,1401CH15,Muskaan@mycollege.in
Naman,1401CH78,Naman@mycollege.in
Nandini,1401CH81,Nandini@mycollege.in
Naveen,1401CH03,Naveen@mycollege.in
Nitesh,1401CH01,Nitesh@mycollege.in
Nitish,1401CH18,Nitish@mycollege.in
Pankaj,1401CH53,Pankaj@mycollege.in
Pooja,1401CH55,Pooja@mycollege.in
Poornima,1401CH36,Poornima@mycollege.in
Pradeep,1401CH57,Pradeep@mycollege.in
Preeti,1401CH19,Preeti@mycollege.in
Rajat,1401CH76,Rajat@mycollege.in
Rashi,1401CH68,Rashi@mycollege.in
Rashmi,1401CH82,Rashmi@mycollege.in
Rishab,1401CH24,Rishab@mycollege.in
Ritu,1401CH58,Ritu@mycollege.in
Rituraj,1401CH77,Rituraj@mycollege.in
Roshan,1401CH80,Roshan@mycollege.in
Ruchi,1401CH66,Ruchi@mycollege.in
Sachin,1401CH47,Sachin@mycollege.in
Samarth,1401CH65,Samarth@mycollege.in
Sameer,1401CH70,Sameer@mycollege.in
Sanskriti,1401CH43,Sanskriti@mycollege.in
Shailendra,1401CH69,Shailendra@mycollege.in
Shailesh,1401CH49,Shailesh@mycollege.in
Shalini,1401CH40,Shalini@mycollege.in
Shashwat,1401CH25,Shashwat@mycollege.in
Shatakshi,1401CH26,Shatakshi@mycollege.in
Shikhar,1401CH04,Shikhar@mycollege.in
Shoaib,1401CH50,Shoaib@mycollege.in
Shriya,1401CH60,Shriya@mycollege.in
Shubhi,1401CH71,Shubhi@mycollege.in
Siddhant,1401CH72,Siddhant@mycollege.in
