Name,Roll,Email
Mayank,1401CE14,Mayank@mycollege.in
Mohsin,1401CE36,Mohsin@mycollege.in
Neha,1401CE50,Neha@mycollege.in
Nitin,1401CE41,Nitin@mycollege.in
Nupur,1401CE49,Nupur@mycollege.in
Parul,1401CE16,Parul@mycollege.in
Pragati,1401CE05,Pragati@mycollege.in
Prakash,1401CE21,Prakash@mycollege.in
Pratibha,1401CE22,Pratibha@mycollege.in
Praveen,1401CE23,Praveen@mycollege.in
Prerna,1401CE48,Prerna@mycollege.in
Prince,1401CE20,Prince@mycollege.in
Priyanshu,1401CE24,Priyanshu@mycollege.in
Raghav,1401CE03,Raghav@mycollege.in
Rishi,1401CE04,Rishi@mycollege.in
Rohan,1401CE53,Rohan@mycollege.in
Sandeep,1401CE09,Sandeep@mycollege.in
Saran,1401CE37,Saran@mycollege.in
Sarthak,1401CE01,Sarthak@mycollege.in
Sarvesh,1401CE33,Sarvesh@mycollege.in
Shambhavi,1401CE17,Shambhavi@mycollege.in
Shaurya,1401CE11,Shaurya@mycollege.in
Shivam,1401CE06,Shivam@mycollege.in
Shivansh,1401CE54,Shivansh@mycollege.in
Shreyansh,1401CE31,Shreyansh@mycollege.in
Shubhangi,1401CE35,Shubhangi@mycollege.in
Sumeet,1401CE47,Sumeet@mycollege.in
Sunil,1401CE55,Sunil@mycollege.in
Sushil,1401CE43,Sushil@mycollege.in
Vaishnavi,1401CE30,Vaishnavi@mycollege.in
Vanshika,1401CE52,Vanshika@mycollege.in
Vartika,1401CE44,Vartika@mycollege.in
Vidya,1401CE34,Vidya@mycollege.in
Vikas,1401CE51,Vikas@mycollege.in
Vikash,1401CE38,Vikash@mycollege.in
Vineet,1401CE13,Vineet@mycollege.in
Krishna,1401AI41,Krishna@mycollege.in
Muskan,1401AI11,Muskan@mycollege.in
Nidhi,1401AI39,Nidhi@mycollege.in
Nikhil,1401AI23,Nikhil@mycollege.in
Prakhar,1401AI45,Prakhar@mycollege.in
Prashant,1401AI25,Prashant@mycollege.in
Priya,1401AI26,Priya@mycollege.in
Rahul,1401AI12,Rahul@mycollege.in
Rishabh,1401AI17,Rishabh@mycollege.in
Rohit,1401AI09,Rohit@mycollege.in
Sakshi,1401AI43,Sakshi@mycollege.in
Saumya,1401AI16,Saumya@mycollege.in
Saurabh,1401AI10,Saurabh@mycollege.in
Shashank,1401AI28,Shashank@mycollege.in
Shivani,1401AI44,Shivani@mycollege.in
Shreya,1401AI32,Shreya@mycollege.in
Shruti,1401AI18,Shruti@mycollege.in
Shubham,1401AI07,Shubham@mycollege.in
Siddharth,1401AI24,Siddharth@mycollege.in
Swati,1401AI36,Swati@mycollege.in
Utkarsh,1401AI13,Utkarsh@mycollege.in
Vaibhav,1401AI14,Vaibhav@mycollege.in
Varun,1401AI30,Varun@mycollege.in
Vishal,1401AI37,Vishal@mycollege.in
Vivek,1401AI35,Vivek@mycollege.in
Yash,1401AI31,Yash@mycollege.in
Shilpa,1401CS86,Shilpa@mycollege.in
Shivanshi,1401CS81,Shivanshi@mycollege.in
Shrestha,1401CS80,Shrestha@mycollege.in
Shreyash,1401CS83,Shreyash@mycollege.in
Shubh,1401CS82,Shubh@mycollege.in
Smita,1401CS60,Smita@mycollege.in
Soniya,1401CS88,Soniya@mycollege.in
